date,state,population,cases,recovered,deceased,tests,normal_beds,ICU_beds,day,dow
2020-04-11,Niederösterreich,1690879.0,1845.0,659.0,60.0,14544.0,194.0,42.0,46,Saturday
2020-04-11,Oberösterreich,1495608.0,1594.0,695.0,24.0,24818.0,87.0,29.0,46,Saturday
2020-04-11,Steiermark,1247077.0,1162.0,308.0,65.0,13954.0,116.0,33.0,46,Saturday
2020-04-11,Wien,1920949.0,1686.0,792.0,77.0,28912.0,150.0,37.0,46,Saturday
2020-04-12,Niederösterreich,1690879.0,1862.0,723.0,60.0,15267.0,189.0,42.0,47,Sunday
2020-04-12,Oberösterreich,1495608.0,1600.0,719.0,25.0,25257.0,86.0,29.0,47,Sunday
2020-04-12,Steiermark,1247077.0,1190.0,319.0,69.0,14430.0,122.0,32.0,47,Sunday
2020-04-12,Wien,1920949.0,1704.0,847.0,79.0,29925.0,156.0,35.0,47,Sunday
2020-04-13,Niederösterreich,1690879.0,1877.0,794.0,65.0,15483.0,192.0,42.0,48,Monday
2020-04-13,Oberösterreich,1495608.0,1612.0,744.0,25.0,25482.0,84.0,32.0,48,Monday
2020-04-13,Steiermark,1247077.0,1209.0,341.0,76.0,14994.0,115.0,31.0,48,Monday
2020-04-13,Wien,1920949.0,1722.0,911.0,83.0,30461.0,129.0,34.0,48,Monday
2020-04-14,Niederösterreich,1690879.0,1910.0,909.0,68.0,15860.0,193.0,43.0,49,Tuesday
2020-04-14,Oberösterreich,1495608.0,1626.0,817.0,25.0,26023.0,86.0,30.0,49,Tuesday
2020-04-14,Steiermark,1247077.0,1227.0,403.0,77.0,15558.0,113.0,28.0,49,Tuesday
2020-04-14,Wien,1920949.0,1773.0,988.0,85.0,31391.0,132.0,44.0,49,Tuesday
2020-04-15,Niederösterreich,1690879.0,1938.0,979.0,70.0,16188.0,193.0,42.0,50,Wednesday
2020-04-15,Oberösterreich,1495608.0,1648.0,910.0,28.0,26579.0,87.0,30.0,50,Wednesday
2020-04-15,Steiermark,1247077.0,1246.0,435.0,81.0,16225.0,118.0,24.0,50,Wednesday
2020-04-15,Wien,1920949.0,1798.0,1060.0,87.0,32660.0,130.0,38.0,50,Wednesday
2020-04-16,Niederösterreich,1690879.0,1953.0,1056.0,75.0,17410.0,190.0,46.0,51,Thursday
2020-04-16,Oberösterreich,1495608.0,1654.0,977.0,29.0,27453.0,78.0,31.0,51,Thursday
2020-04-16,Steiermark,1247077.0,1265.0,488.0,83.0,16996.0,120.0,21.0,51,Thursday
2020-04-16,Wien,1920949.0,1831.0,1108.0,94.0,33607.0,134.0,46.0,51,Thursday
2020-04-17,Niederösterreich,1690879.0,1971.0,1125.0,76.0,18269.0,179.0,40.0,52,Friday
2020-04-17,Oberösterreich,1495608.0,1673.0,1071.0,29.0,27858.0,71.0,30.0,52,Friday
2020-04-17,Steiermark,1247077.0,1280.0,530.0,86.0,17998.0,112.0,22.0,52,Friday
2020-04-17,Wien,1920949.0,1859.0,1144.0,97.0,35603.0,126.0,39.0,52,Friday
2020-04-18,Niederösterreich,1690879.0,1977.0,1172.0,76.0,18831.0,166.0,41.0,53,Saturday
2020-04-18,Oberösterreich,1495608.0,1678.0,1108.0,33.0,29190.0,72.0,25.0,53,Saturday
2020-04-18,Steiermark,1247077.0,1287.0,564.0,90.0,19036.0,98.0,20.0,53,Saturday
2020-04-18,Wien,1920949.0,1882.0,1170.0,102.0,37256.0,129.0,32.0,53,Saturday
2020-04-19,Niederösterreich,1690879.0,1982.0,1206.0,79.0,19112.0,156.0,40.0,54,Sunday
2020-04-19,Oberösterreich,1495608.0,1682.0,1128.0,35.0,29696.0,66.0,29.0,54,Sunday
2020-04-19,Steiermark,1247077.0,1294.0,575.0,94.0,19749.0,99.0,18.0,54,Sunday
2020-04-19,Wien,1920949.0,1898.0,1197.0,107.0,37256.0,128.0,31.0,54,Sunday
2020-04-20,Niederösterreich,1690879.0,2001.0,1272.0,79.0,19588.0,156.0,37.0,55,Monday
2020-04-20,Oberösterreich,1495608.0,1690.0,1166.0,35.0,30373.0,63.0,27.0,55,Monday
2020-04-20,Steiermark,1247077.0,1303.0,612.0,97.0,20098.0,91.0,17.0,55,Monday
2020-04-20,Wien,1920949.0,1911.0,1244.0,109.0,37750.0,127.0,32.0,55,Monday
2020-04-21,Niederösterreich,1690879.0,2013.0,1333.0,80.0,20218.0,109.0,42.0,56,Tuesday
2020-04-21,Oberösterreich,1495608.0,1694.0,1221.0,37.0,31046.0,60.0,30.0,56,Tuesday
2020-04-21,Steiermark,1247077.0,1309.0,643.0,98.0,20792.0,86.0,17.0,56,Tuesday
2020-04-21,Wien,1920949.0,1942.0,1290.0,118.0,39880.0,127.0,29.0,56,Tuesday
2020-04-22,Niederösterreich,1690879.0,2028.0,1376.0,82.0,20980.0,98.0,43.0,57,Wednesday
2020-04-22,Oberösterreich,1495608.0,1698.0,1259.0,39.0,31933.0,59.0,20.0,57,Wednesday
2020-04-22,Steiermark,1247077.0,1325.0,672.0,100.0,21678.0,81.0,14.0,57,Wednesday
2020-04-22,Wien,1920949.0,1965.0,1330.0,120.0,47541.0,110.0,30.0,57,Wednesday
2020-04-23,Niederösterreich,1690879.0,2035.0,1423.0,83.0,21969.0,88.0,43.0,58,Thursday
2020-04-23,Oberösterreich,1495608.0,1709.0,1298.0,40.0,33100.0,60.0,18.0,58,Thursday
2020-04-23,Steiermark,1247077.0,1336.0,697.0,102.0,22738.0,83.0,16.0,58,Thursday
2020-04-23,Wien,1920949.0,1987.0,1371.0,123.0,45520.0,116.0,23.0,58,Thursday
2020-04-24,Niederösterreich,1690879.0,2048.0,1487.0,85.0,22572.0,87.0,40.0,59,Friday
2020-04-24,Oberösterreich,1495608.0,1716.0,1332.0,41.0,34014.0,63.0,15.0,59,Friday
