date,tests,normal_beds,ICU_beds,state
2020-04-22,21678,81,14,Steiermark
2020-04-23,205835,508,169,Alle
2020-04-23,3006,13,4,Burgenland
2020-04-23,8528,7,7,Kärnten
2020-04-23,21969,88,43,Niederösterreich
2020-04-23,33100,60,18,Oberösterreich
2020-04-23,15969,78,14,Salzburg
2020-04-23,22738,83,16,Steiermark
2020-04-23,46349,53,38,Tirol
2020-04-23,8656,10,6,Vorarlberg
2020-04-23,45520,116,23,Wien
2020-04-24,8989,8,6,Vorarlberg
2020-04-24,47235,45,36,Tirol
2020-04-24,212686,495,156,Alle
2020-04-24,47206,120,25,Wien
2020-04-24,23673,75,13,Steiermark
2020-04-24,3568,12,2,Burgenland
2020-04-24,34014,63,15,Oberösterreich
2020-04-24,22572,87,40,Niederösterreich
2020-04-24,8755,7,7,Kärnten
2020-04-24,16674,78,12,Salzburg
2020-04-25,221089,460,148,Alle
2020-04-25,48607,126,23,Wien
2020-04-25,9396,6,6,Vorarlberg
2020-04-25,48093,43,34,Tirol
2020-04-25,24949,65,12,Steiermark
2020-04-25,17293,71,12,Salzburg
2020-04-25,34849,56,15,Oberösterreich
2020-04-25,24800,77,37,Niederösterreich
2020-04-25,8947,6,7,Kärnten
2020-04-25,4155,10,2,Burgenland
2020-04-26,227631,449,145,Alle
2020-04-26,50973,119,23,Wien
2020-04-26,9856,6,6,Vorarlberg
2020-04-26,48412,43,32,Tirol
2020-04-26,25666,64,12,Steiermark
2020-04-26,35501,53,14,Oberösterreich
2020-04-26,25849,81,39,Niederösterreich
2020-04-26,9036,6,6,Kärnten
2020-04-26,4167,9,2,Burgenland
2020-04-26,18171,68,11,Salzburg
2020-04-27,18883,63,11,Salzburg
2020-04-27,4232,11,2,Burgenland
2020-04-27,9119,6,6,Kärnten
2020-04-27,27250,76,37,Niederösterreich
2020-04-27,36230,55,11,Oberösterreich
2020-04-27,26126,63,12,Steiermark
2020-04-27,48674,41,33,Tirol
2020-04-27,10219,6,5,Vorarlberg
2020-04-27,51804,118,23,Wien
2020-04-27,232537,439,140,Alle
2020-04-28,10362,6,5,Vorarlberg
2020-04-28,49393,40,32,Tirol
2020-04-28,239578,425,136,Alle
2020-04-28,53114,116,21,Wien
2020-04-28,26908,64,10,Steiermark
2020-04-28,5302,8,3,Burgenland
2020-04-28,37146,46,14,Oberösterreich
2020-04-28,28534,75,35,Niederösterreich
2020-04-28,9471,5,6,Kärnten
2020-04-28,19348,65,10,Salzburg
2020-04-29,247754,386,131,Alle
2020-04-29,55147,110,21,Wien
2020-04-29,10811,4,5,Vorarlberg
2020-04-29,50269,34,28,Tirol
2020-04-29,27813,57,12,Steiermark
2020-04-29,38144,39,12,Oberösterreich
2020-04-29,29741,68,36,Niederösterreich
2020-04-29,9648,5,5,Kärnten
2020-04-29,5971,6,2,Burgenland
2020-04-29,20210,63,10,Salzburg
2020-04-30,51310,32,28,Tirol
2020-04-30,256399,372,128,Alle
2020-04-30,56750,108,21,Wien
2020-04-30,11165,2,5,Vorarlberg
2020-04-30,28844,57,10,Steiermark
2020-04-30,6619,7,2,Burgenland
2020-04-30,39188,33,12,Oberösterreich
2020-04-30,31034,66,36,Niederösterreich
2020-04-30,9904,3,5,Kärnten
2020-04-30,21585,64,9,Salzburg
2020-05-01,52504,25,27,Tirol
2020-05-01,264079,348,124,Alle
2020-05-01,58413,102,22,Wien
2020-05-01,11719,3,4,Vorarlberg
2020-05-01,29979,51,10,Steiermark
2020-05-01,10152,3,5,Kärnten
2020-05-01,40001,34,10,Oberösterreich
2020-05-01,6959,6,2,Burgenland
2020-05-01,22422,62,7,Salzburg
2020-05-01,31930,62,37,Niederösterreich
2020-05-02,7426,6,2,Burgenland
2020-05-02,10302,3,4,Kärnten
2020-05-02,32438,55,35,Niederösterreich
2020-05-02,40747,34,8,Oberösterreich
2020-05-02,23075,45,7,Salzburg
2020-05-02,30866,43,9,Steiermark
2020-05-02,52934,24,24,Tirol
2020-05-02,12374,3,4,Vorarlberg
2020-05-02,59457,101,21,Wien
2020-05-02,269619,314,114,Alle
2020-05-03,274355,308,114,Alle
2020-05-03,60943,102,22,Wien
2020-05-03,12783,3,4,Vorarlberg
2020-05-03,31215,38,9,Steiermark
2020-05-03,53261,25,25,Tirol
2020-05-03,41188,39,9,Oberösterreich
2020-05-03,32815,51,34,Niederösterreich
2020-05-03,10519,3,3,Kärnten
2020-05-03,7529,3,1,Burgenland
2020-05-03,24102,44,7,Salzburg
2020-05-04,279071,309,111,Alle
2020-05-04,62364,107,19,Wien
2020-05-04,13040,3,4,Vorarlberg
2020-05-04,53512,24,25,Tirol
2020-05-04,31579,34,9,Steiermark
2020-05-04,24613,53,7,Salzburg
2020-05-04,33646,51,35,Niederösterreich
2020-05-04,10837,3,3,Kärnten
2020-05-04,7637,2,1,Burgenland
2020-05-04,41843,32,8,Oberösterreich
2020-05-05,13156,4,4,Vorarlberg
2020-05-05,285883,314,104,Alle
2020-05-05,64413,116,20,Wien
2020-05-05,32158,32,9,Steiermark
2020-05-05,54720,22,21,Tirol
2020-05-05,42706,33,7,Oberösterreich
2020-05-05,7795,5,1,Burgenland
2020-05-05,11029,3,2,Kärnten
2020-05-05,25216,46,7,Salzburg
2020-05-05,34690,53,33,Niederösterreich
2020-05-06,7847,4,1,Burgenland
2020-05-06,11483,2,3,Kärnten
2020-05-06,35997,55,29,Niederösterreich
2020-05-06,43698,30,6,Oberösterreich
2020-05-06,33003,32,8,Steiermark
2020-05-06,55574,18,19,Tirol
2020-05-06,13324,3,4,Vorarlberg
2020-05-06,66538,125,20,Wien
2020-05-06,292254,321,97,Alle
2020-05-06,24790,52,7,Salzburg
2020-05-07,297894,268,92,Alle
2020-05-07,33702,31,7,Steiermark
2020-05-07,67738,92,19,Wien
2020-05-07,13794,3,3,Vorarlberg
2020-05-07,56188,13,17,Tirol
2020-05-07,25320,51,7,Salzburg
2020-05-07,37010,48,28,Niederösterreich
2020-05-07,11647,2,3,Kärnten
2020-05-07,8078,3,1,Burgenland
2020-05-07,44417,25,7,Oberösterreich
2020-05-08,304069,258,81,Alle
2020-05-08,68859,91,18,Wien
2020-05-08,14274,1,2,Vorarlberg
2020-05-08,57044,15,14,Tirol
2020-05-08,34368,32,6,Steiermark
2020-05-08,45271,24,4,Oberösterreich
2020-05-08,38048,45,28,Niederösterreich
2020-05-08,11980,1,2,Kärnten
2020-05-08,8145,6,0,Burgenland
2020-05-08,26080,43,7,Salzburg
2020-05-09,58452,21,18,Tirol
2020-05-09,311690,230,79,Alle
2020-05-09,70226,91,19,Wien
2020-05-09,15160,1,1,Vorarlberg
2020-05-09,35200,26,6,Steiermark
2020-05-09,12208,1,2,Kärnten
2020-05-09,46097,15,5,Oberösterreich
2020-05-09,26560,22,3,Salzburg
2020-05-09,8255,6,0,Burgenland
2020-05-09,39532,47,25,Niederösterreich
2020-05-10,8444,6,0,Burgenland
2020-05-10,12414,2,0,Kärnten
2020-05-10,40655,44,24,Niederösterreich
2020-05-10,46687,13,6,Oberösterreich
2020-05-10,26985,26,2,Salzburg
2020-05-10,35795,21,5,Steiermark
2020-05-10,58904,18,15,Tirol
2020-05-10,15886,1,1,Vorarlberg
2020-05-10,70738,88,19,Wien
2020-05-10,316508,219,72,Alle
2020-05-11,319484,211,68,Alle
2020-05-11,70789,82,20,Wien
2020-05-11,15886,1,1,Vorarlberg
2020-05-11,36089,20,4,Steiermark
2020-05-11,59430,16,13,Tirol
2020-05-11,47268,15,4,Oberösterreich
2020-05-11,41724,46,23,Niederösterreich
2020-05-11,12496,1,0,Kärnten
2020-05-11,8477,3,0,Burgenland
2020-05-11,27325,27,3,Salzburg
2020-05-12,8817,0,0,Burgenland
2020-05-12,12836,1,0,Kärnten
2020-05-12,42771,46,21,Niederösterreich
2020-05-12,47935,17,3,Oberösterreich
2020-05-12,27658,27,2,Salzburg
2020-05-12,36535,18,4,Steiermark
2020-05-12,61255,14,12,Tirol
2020-05-12,16146,1,1,Vorarlberg
2020-05-12,75361,81,16,Wien
2020-05-12,329314,205,59,Alle
2020-05-13,76478,80,16,Wien
2020-05-13,13172,2,0,Kärnten
2020-05-13,16463,0,0,Vorarlberg
2020-05-13,336252,188,55,Alle
2020-05-13,62847,13,9,Tirol
2020-05-13,9162,4,0,Burgenland
2020-05-13,28272,13,2,Salzburg
2020-05-13,48661,18,2,Oberösterreich
2020-05-13,43776,44,21,Niederösterreich
2020-05-13,37421,14,5,Steiermark
2020-05-14,344606,180,54,Alle
2020-05-14,78833,78,18,Wien
2020-05-14,16748,0,0,Vorarlberg
2020-05-14,64061,12,9,Tirol
2020-05-14,38488,17,4,Steiermark
2020-05-14,49589,13,1,Oberösterreich
2020-05-14,44954,42,20,Niederösterreich
2020-05-14,13509,2,0,Kärnten
2020-05-14,9482,3,0,Burgenland
2020-05-14,28942,13,2,Salzburg
2020-05-15,64844,13,8,Tirol
2020-05-15,351351,165,47,Alle
2020-05-15,80219,70,14,Wien
2020-05-15,17136,0,0,Vorarlberg
2020-05-15,39387,13,4,Steiermark
2020-05-15,9635,4,0,Burgenland
2020-05-15,50523,13,1,Oberösterreich
2020-05-15,46257,40,18,Niederösterreich
2020-05-15,13750,2,0,Kärnten
2020-05-15,29600,10,2,Salzburg
2020-05-16,357393,158,50,Alle
2020-05-16,81902,70,17,Wien
2020-05-16,17398,0,0,Vorarlberg
2020-05-16,65619,11,9,Tirol
2020-05-16,40431,12,4,Steiermark
2020-05-16,29989,9,2,Salzburg
2020-05-16,47426,36,17,Niederösterreich
2020-05-16,13890,1,0,Kärnten
2020-05-16,9599,3,0,Burgenland
2020-05-16,51139,16,1,Oberösterreich
2020-05-17,82944,71,17,Wien
2020-05-17,17809,0,0,Vorarlberg
2020-05-17,65989,10,7,Tirol
2020-05-17,41015,10,4,Steiermark
2020-05-17,362509,149,48,Alle
2020-05-17,51753,12,4,Oberösterreich
2020-05-17,48584,34,15,Niederösterreich
2020-05-17,13941,1,0,Kärnten
2020-05-17,10046,4,0,Burgenland
2020-05-17,30428,7,1,Salzburg
2020-05-18,366069,151,45,Alle
2020-05-18,83745,72,17,Wien
2020-05-18,17898,0,0,Vorarlberg
2020-05-18,66285,12,6,Tirol
2020-05-18,41389,10,4,Steiermark
2020-05-18,30480,9,1,Salzburg
2020-05-18,49590,34,15,Niederösterreich
2020-05-18,14011,1,0,Kärnten
2020-05-18,10384,3,0,Burgenland
2020-05-18,52287,10,2,Oberösterreich
2020-05-19,66854,13,5,Tirol
2020-05-19,86247,67,14,Wien
2020-05-19,18104,1,0,Vorarlberg
2020-05-19,42090,10,4,Steiermark
2020-05-19,372435,143,39,Alle
2020-05-19,52924,11,1,Oberösterreich
2020-05-19,10431,2,0,Burgenland
2020-05-19,30881,7,1,Salzburg
2020-05-19,50494,31,14,Niederösterreich
2020-05-19,14410,1,0,Kärnten
2020-05-20,379592,137,37,Alle
2020-05-20,88196,67,14,Wien
2020-05-20,18390,1,0,Vorarlberg
2020-05-20,42955,10,2,Steiermark
2020-05-20,67391,9,6,Tirol
2020-05-20,54237,15,0,Oberösterreich
2020-05-20,51582,27,14,Niederösterreich
2020-05-20,14763,1,0,Kärnten
2020-05-20,10882,1,0,Burgenland
2020-05-20,31196,6,1,Salzburg
2020-05-21,385637,156,32,Alle
2020-05-21,90228,86,13,Wien
2020-05-21,18691,1,0,Vorarlberg
2020-05-21,67834,10,4,Tirol
2020-05-21,44061,7,2,Steiermark
2020-05-21,31329,5,0,Salzburg
2020-05-21,52614,29,13,Niederösterreich
2020-05-21,14910,1,0,Kärnten
2020-05-21,10958,3,0,Burgenland
2020-05-21,55012,14,0,Oberösterreich
2020-05-22,390488,128,31,Alle
2020-05-22,91303,66,14,Wien
2020-05-22,18917,1,0,Vorarlberg
2020-05-22,68390,9,3,Tirol
2020-05-22,44859,8,2,Steiermark
2020-05-22,31536,4,0,Salzburg
2020-05-22,53663,26,12,Niederösterreich
2020-05-22,15022,1,0,Kärnten
2020-05-22,10959,1,0,Burgenland
2020-05-22,55839,12,0,Oberösterreich
2020-05-23,68790,9,3,Tirol
2020-05-23,92920,59,12,Wien
2020-05-23,18917,0,0,Vorarlberg
2020-05-23,45449,8,2,Steiermark
2020-05-23,396363,116,28,Alle
2020-05-23,56186,11,0,Oberösterreich
2020-05-23,11134,1,0,Burgenland
2020-05-23,31748,4,0,Salzburg
2020-05-23,56075,24,11,Niederösterreich
2020-05-23,15144,0,0,Kärnten
2020-05-24,11300,2,0,Burgenland
2020-05-24,15198,0,0,Kärnten
2020-05-24,57841,20,11,Niederösterreich
2020-05-24,56693,9,0,Oberösterreich
2020-05-24,31854,4,0,Salzburg
2020-05-24,45985,6,1,Steiermark
