date,state,population,cases,recovered,dead
2020-03-23,Kärnten,562089,41,3,2
2020-03-23,Burgenland,296010,35,2,0
2020-03-24,Wien,1920949,373,41,9
2020-03-24,Vorarlberg,399237,164,11,0
2020-03-24,Tirol,760105,707,44,9
2020-03-24,Österreich,8932664,2486,174,37
2020-03-24,Steiermark,1247077,247,8,5
2020-03-24,Oberösterreich,1495608,372,16,2
2020-03-24,Burgenland,296010,37,2,0
2020-03-24,Salzburg,560710,178,14,0
2020-03-24,Niederösterreich,1690879,348,29,10
2020-03-24,Kärnten,562089,60,9,2
2020-03-25,Österreich,8932664,3154,241,43
2020-03-25,Wien,1920949,440,50,11
2020-03-25,Vorarlberg,399237,185,15,0
2020-03-25,Steiermark,1247077,295,10,6
2020-03-25,Tirol,760105,918,69,9
2020-03-25,Oberösterreich,1495608,521,36,2
2020-03-25,Niederösterreich,1690879,443,32,12
2020-03-25,Kärnten,562089,71,10,2
2020-03-25,Burgenland,296010,39,2,0
2020-03-25,Salzburg,560710,242,17,1
2020-03-26,Österreich,8932664,4162,333,52
2020-03-26,Wien,1920949,633,66,14
2020-03-26,Vorarlberg,399237,228,20,1
2020-03-26,Tirol,760105,1119,111,12
2020-03-26,Steiermark,1247077,397,12,7
2020-03-26,Salzburg,560710,360,17,1
2020-03-26,Niederösterreich,1690879,597,50,13
2020-03-26,Kärnten,562089,96,11,2
2020-03-26,Burgenland,296010,68,4,0
2020-03-26,Oberösterreich,1495608,664,42,2
2020-03-27,Österreich,8932664,4946,490,65
2020-03-27,Wien,1920949,755,93,15
2020-03-27,Vorarlberg,399237,293,24,1
2020-03-27,Tirol,760105,1287,151,14
2020-03-27,Steiermark,1247077,462,20,12
2020-03-27,Oberösterreich,1495608,778,69,4
2020-03-27,Niederösterreich,1690879,756,78,15
2020-03-27,Kärnten,562089,114,14,2
2020-03-27,Burgenland,296010,92,8,0
2020-03-27,Salzburg,560710,409,33,2
2020-03-28,Tirol,760105,1449,193,17
2020-03-28,Österreich,8932664,5557,602,77
2020-03-28,Wien,1920949,802,110,17
2020-03-28,Vorarlberg,399237,334,31,1
2020-03-28,Steiermark,1247077,522,22,14
2020-03-28,Kärnten,562089,136,16,2
2020-03-28,Oberösterreich,1495608,880,84,6
2020-03-28,Niederösterreich,1690879,854,99,17
2020-03-28,Salzburg,560710,475,39,3
2020-03-28,Burgenland,296010,105,8,0
2020-03-29,Wien,1920949,819,125,19
2020-03-29,Vorarlberg,399237,358,51,2
2020-03-29,Tirol,760105,1563,234,20
2020-03-29,Steiermark,1247077,580,28,15
2020-03-29,Österreich,8932664,6101,718,90
2020-03-29,Oberösterreich,1495608,996,96,8
2020-03-29,Niederösterreich,1690879,974,115,19
2020-03-29,Kärnten,562089,158,17,2
2020-03-29,Burgenland,296010,124,8,0
2020-03-29,Salzburg,560710,529,44,5
2020-03-30,Österreich,8932664,6765,879,109
2020-03-30,Wien,1920949,1016,150,23
2020-03-30,Vorarlberg,399237,382,57,3
2020-03-30,Tirol,760105,1681,268,25
2020-03-30,Steiermark,1247077,649,36,20
2020-03-30,Salzburg,560710,588,63,7
2020-03-30,Niederösterreich,1690879,1093,151,19
2020-03-30,Kärnten,562089,170,22,2
2020-03-30,Burgenland,296010,133,11,0
2020-03-30,Oberösterreich,1495608,1053,121,10
2020-03-31,Tirol,760105,1808,316,30
2020-03-31,Wien,1920949,1129,170,25
2020-03-31,Vorarlberg,399237,416,69,4
2020-03-31,Steiermark,1247077,710,44,23
2020-03-31,Österreich,8932664,7312,1032,124
2020-03-31,Oberösterreich,1495608,1121,141,12
2020-03-31,Burgenland,296010,139,16,0
2020-03-31,Salzburg,560710,627,79,8
