date,state,avg,min,max
2020-11-12,Wien,6.297321428571428,5.214285714285714,8.157142857142857
2020-11-13,Niederösterreich,5.513825757575758,3.165909090909091,9.896590909090909
2020-11-13,Oberösterreich,5.390489130434783,2.7,10.210869565217392
2020-11-13,Steiermark,3.213690476190476,1.5595238095238095,5.630952380952381
2020-11-13,Wien,5.883928571428571,3.9,9.957142857142857
2020-11-14,Niederösterreich,5.988589015151515,3.685227272727273,10.588636363636363
2020-11-14,Oberösterreich,6.26159420289855,2.743478260869565,13.719565217391304
2020-11-14,Steiermark,3.570734126984127,0.7642857142857143,9.564285714285713
2020-11-14,Wien,6.264285714285714,4.814285714285715,9.185714285714285
2020-11-15,Niederösterreich,5.082433712121212,3.5465909090909093,6.7318181818181815
2020-11-15,Oberösterreich,4.059239130434783,2.1913043478260867,7.030434782608695
2020-11-15,Steiermark,3.5742063492063494,1.807142857142857,6.559523809523809
2020-11-15,Wien,6.395535714285714,5.1499999999999995,7.8428571428571425
2020-11-16,Niederösterreich,6.116382575757576,2.868181818181818,9.14090909090909
2020-11-16,Oberösterreich,5.415036231884058,2.5456521739130435,8.743478260869566
2020-11-16,Steiermark,3.643849206349206,1.119047619047619,5.45
2020-11-16,Wien,8.35952380952381,5.721428571428571,10.928571428571429
2020-11-17,Niederösterreich,6.943607954545455,2.9670454545454548,11.740909090909092
2020-11-17,Oberösterreich,6.1996376811594205,2.1804347826086956,11.169565217391304
2020-11-17,Steiermark,4.382837301587301,0.4738095238095238,11.745238095238095
2020-11-17,Wien,8.915178571428571,4.828571428571428,13.735714285714286
2020-11-18,Niederösterreich,5.400804924242424,0.8329545454545454,13.432954545454544
2020-11-18,Oberösterreich,3.864039855072464,-0.0673913043478261,12.697826086956523
2020-11-18,Steiermark,2.9776785714285716,-0.6357142857142857,10.726190476190476
2020-11-18,Wien,7.260714285714286,3.114285714285714,13.728571428571428
2020-11-19,Niederösterreich,5.096922348484849,1.3670454545454545,9.327272727272726
2020-11-19,Oberösterreich,4.802083333333334,0.0173913043478261,10.965217391304348
2020-11-19,Steiermark,2.659325396825397,-0.5380952380952382,5.697619047619048
2020-11-19,Wien,5.788690476190476,3.192857142857143,7.799999999999999
2020-11-20,Niederösterreich,4.181155303030303,0.2818181818181818,6.9340909090909095
2020-11-20,Oberösterreich,3.3705615942028984,-0.3978260869565218,5.836956521739131
2020-11-20,Steiermark,3.495337301587302,-0.3547619047619048,6.607142857142857
2020-11-20,Wien,5.6875,1.3928571428571428,8.635714285714286
2020-11-21,Niederösterreich,-0.021212121212121217,-4.202272727272727,6.644318181818182
2020-11-21,Oberösterreich,-0.15117753623188407,-3.6956521739130435,6.76304347826087
2020-11-21,Steiermark,-0.7342261904761904,-5.059523809523809,6.4785714285714295
2020-11-21,Wien,1.3663690476190475,-2.2285714285714286,8.307142857142859
2020-11-22,Niederösterreich,-0.6630208333333333,-5.404545454545455,6.410227272727273
2020-11-22,Oberösterreich,-0.3938405797101449,-4.5978260869565215,6.4021739130434785
2020-11-22,Steiermark,-1.9607142857142859,-6.3619047619047615,6.066666666666667
2020-11-22,Wien,0.6729166666666667,-4.0285714285714285,7.471428571428571
2020-11-23,Niederösterreich,3.150094696969697,-0.33295454545454545,6.868181818181818
2020-11-23,Oberösterreich,3.262590579710145,0.11304347826086956,6.641304347826087
2020-11-23,Steiermark,0.15416666666666665,-3.142857142857143,5.226190476190476
2020-11-23,Wien,4.202976190476191,0.4928571428571428,7.8999999999999995
2020-11-24,Niederösterreich,1.2828057359307359,-1.7011363636363634,4.903409090909091
2020-11-24,Oberösterreich,2.4643115942028984,-0.7847826086956522,7.671739130434782
2020-11-24,Steiermark,0.1933531746031746,-3.8,7.466666666666667
2020-11-24,Wien,1.3642857142857143,-0.8142857142857143,3.7142857142857144
2020-11-25,Niederösterreich,0.3888528138528138,-0.8056818181818183,1.8227272727272728
2020-11-25,Oberösterreich,0.23161231884057976,-1.05,1.932608695652174
2020-11-25,Steiermark,-1.4072420634920635,-4.2023809523809526,2.788095238095238
2020-11-25,Wien,1.3122023809523806,0.5,1.9285714285714286
2020-11-26,Niederösterreich,-0.02599431818181819,-0.8875,1.4534090909090909
2020-11-26,Oberösterreich,-0.7165760869565218,-1.8369565217391304,1.1065217391304347
2020-11-26,Steiermark,-1.7974206349206352,-3.8857142857142852,2.5428571428571427
2020-11-26,Wien,1.1425595238095239,0.7285714285714285,1.7214285714285715
2020-11-27,Niederösterreich,-0.3871685606060606,-1.6511363636363638,1.968181818181818
2020-11-27,Oberösterreich,-1.179891304347826,-2.6456521739130436,1.2260869565217392
2020-11-27,Steiermark,-2.136706349206349,-4.185714285714286,2.566666666666667
2020-11-27,Wien,0.9363095238095239,0.42857142857142855,1.7214285714285715
2020-11-28,Niederösterreich,0.09109848484848483,-1.9022727272727273,2.0818181818181816
2020-11-28,Oberösterreich,-0.7772644927536233,-2.7630434782608693,1.45
2020-11-28,Steiermark,-1.697420634920635,-4.614285714285715,2.8357142857142854
2020-11-28,Wien,1.3020833333333333,0.2785714285714286,2.621428571428571
2020-11-29,Niederösterreich,0.703219696969697,-2.5977272727272727,4.439772727272727
2020-11-29,Oberösterreich,-0.4032608695652174,-3.2282608695652173,3.345652173913044
2020-11-29,Steiermark,-0.07103174603174602,-3.7190476190476187,5.385714285714285
2020-11-29,Wien,2.017857142857143,-1.0857142857142856,5.05
2020-11-30,Niederösterreich,0.23626893939393945,-4.568181818181818,5.040909090909091
2020-11-30,Oberösterreich,-1.8841485507246376,-5.634782608695652,5.071739130434782
2020-11-30,Steiermark,-2.0813492063492065,-6.266666666666667,5.0476190476190474
2020-11-30,Wien,1.9473214285714284,-2.6000000000000005,5.807142857142857
2020-12-01,Niederösterreich,-2.7085227272727272,-6.040909090909091,1.1375
2020-12-01,Oberösterreich,-3.076539855072464,-6.2586956521739125,0.6695652173913043
2020-12-01,Steiermark,-3.65406746031746,-7.576190476190476,2.092857142857143
2020-12-01,Wien,-1.3985119047619048,-3.9857142857142853,1.6642857142857144
2020-12-02,Niederösterreich,-2.3632102272727273,-4.360227272727273,0.06704545454545452
2020-12-02,Oberösterreich,-2.582699275362319,-4.321739130434783,-0.3304347826086957
2020-12-02,Steiermark,-2.0910714285714285,-4.504761904761905,0.38095238095238093
2020-12-02,Wien,-1.8845238095238095,-2.871428571428571,-0.7428571428571429
2020-12-03,Niederösterreich,-1.3285037878787878,-2.559090909090909,0.07045454545454545
2020-12-03,Oberösterreich,-2.6819746376811593,-5.52391304347826,0.6173913043478261
2020-12-03,Steiermark,-1.7410714285714286,-3.607142857142857,-0.07857142857142857
2020-12-03,Wien,-0.6985119047619046,-1.45,0.11428571428571425
2020-12-04,Niederösterreich,0.9949337121212121,-1.6420454545454546,3.9272727272727277
2020-12-04,Oberösterreich,-0.5185688405797102,-5.8326086956521745,5.371739130434783
2020-12-04,Steiermark,-0.2810515873015873,-3.0404761904761903,2.6738095238095236
2020-12-04,Wien,0.8964285714285715,0.014285714285714266,2.1785714285714284
2020-12-05,Niederösterreich,5.96439393939394,2.1988636363636362,9.617045454545455
2020-12-05,Oberösterreich,4.924365942028985,0.732608695652174,9.304347826086957
2020-12-05,Steiermark,3.5223214285714284,1.3666666666666667,5.735714285714286
2020-12-05,Wien,5.171726190476191,2.1,8.657142857142857
2020-12-06,Niederösterreich,7.392897727272728,5.321590909090909,9.292045454545455
2020-12-06,Oberösterreich,6.637590579710144,3.097826086956522,11.832608695652173
2020-12-06,Steiermark,5.375,2.7142857142857144,7.7785714285714285
2020-12-06,Wien,7.3133928571428575,5.25,9.107142857142858
2020-12-07,Niederösterreich,5.503693181818182,2.9556818181818176,7.972727272727273
2020-12-07,Oberösterreich,2.716485507246377,-1.6347826086956523,7.391304347826087
2020-12-07,Steiermark,4.493055555555555,0.9738095238095238,7.840476190476191
2020-12-07,Wien,6.298511904761904,5.064285714285715,7.285714285714286
2020-12-08,Niederösterreich,3.262121212121212,0.9352272727272727,6.036363636363637
2020-12-08,Oberösterreich,1.3982789855072466,-3.367391304347826,5.869565217391305
2020-12-08,Steiermark,2.294246031746032,0.023809523809523805,4.261904761904762
2020-12-08,Wien,4.163095238095238,3.585714285714286,4.8428571428571425
2020-12-09,Niederösterreich,3.048721590909091,1.8068181818181819,4.307954545454546
2020-12-09,Oberösterreich,1.4881340579710145,0.13260869565217395,3.393478260869565
2020-12-09,Steiermark,1.1130952380952381,0.23333333333333334,2.7952380952380955
2020-12-09,Wien,4.022321428571429,3.1,4.9071428571428575
2020-12-10,Niederösterreich,1.1217329545454546,0.10568181818181817,2.5431818181818184
2020-12-10,Oberösterreich,0.6206521739130435,-0.04347826086956521,1.702173913043478
2020-12-10,Steiermark,0.8087301587301587,0.10238095238095238,2.0952380952380953
2020-12-10,Wien,1.7488095238095238,0.42857142857142855,2.7785714285714285
2020-12-11,Niederösterreich,1.404971590909091,-0.1795454545454545,3.1181818181818177
2020-12-11,Oberösterreich,0.41693840579710145,-0.532608695652174,1.7239130434782608
2020-12-11,Steiermark,0.7081349206349207,-0.6857142857142857,2.4714285714285715
2020-12-11,Wien,2.419345238095238,0.8428571428571429,3.5500000000000003
2020-12-12,Niederösterreich,1.5050662878787877,0.21818181818181817,3.0545454545454547
2020-12-12,Oberösterreich,0.6863224637681159,-0.773913043478261,2.7043478260869565
2020-12-12,Steiermark,0.4851190476190476,-1.0571428571428574,2.3333333333333335
2020-12-12,Wien,2.741369047619048,2.2285714285714286,3.335714285714286
2020-12-13,Niederösterreich,2.3437973484848484,0.16136363636363635,4.485227272727273
2020-12-13,Oberösterreich,2.5962862318840583,0.7478260869565218,3.9804347826086954
2020-12-13,Steiermark,0.6840277777777778,-1.130952380952381,2.5880952380952382
2020-12-13,Wien,3.6639880952380954,1.7785714285714285,5.635714285714286
2020-12-14,Niederösterreich,3.1794034090909093,0.36818181818181817,6.810227272727272
2020-12-14,Oberösterreich,2.5697463768115942,0.658695652173913,5.297826086956522
2020-12-14,Steiermark,0.5991071428571428,-0.5928571428571429,2.3666666666666667
2020-12-14,Wien,4.09375,1.1785714285714286,7.307142857142858
2020-12-15,Niederösterreich,1.5632102272727273,0.00909090909090912,3.2397727272727277
2020-12-15,Oberösterreich,1.162409420289855,-0.6543478260869565,2.928260869565217
2020-12-15,Steiermark,0.31398809523809523,-0.9857142857142857,1.8452380952380953
2020-12-15,Wien,2.793452380952381,1.5285714285714285,3.9285714285714284
2020-12-16,Niederösterreich,1.5615056818181818,0.803409090909091,2.3068181818181817
2020-12-16,Oberösterreich,1.3692028985507247,-0.42391304347826086,3.5934782608695657
2020-12-16,Steiermark,0.8604166666666667,-0.20476190476190476,2.1404761904761904
2020-12-16,Wien,2.500297619047619,2.1285714285714286,2.8714285714285714
